,facebook_chat.pcap
465,"['10.152.152.11', 33806, '104.86.110.33', 443]"
466,"['104.86.110.33', 443, '10.152.152.11', 33806]"
467,"['10.152.152.11', 33806, '104.86.110.33', 443]"
468,"['104.86.110.33', 443, '10.152.152.11', 33806]"
469,"['10.152.152.11', 33806, '104.86.110.33', 443]"
470,"['104.86.110.33', 443, '10.152.152.11', 33806]"
471,"['10.152.152.11', 33806, '104.86.110.33', 443]"
472,"['104.86.110.33', 443, '10.152.152.11', 33806]"
473,"['10.152.152.11', 33806, '104.86.110.33', 443]"
474,"['104.86.110.33', 443, '10.152.152.11', 33806]"
475,"['10.152.152.11', 33806, '104.86.110.33', 443]"
476,"['104.86.110.33', 443, '10.152.152.11', 33806]"
477,"['10.152.152.11', 33806, '104.86.110.33', 443]"
478,"['104.86.110.33', 443, '10.152.152.11', 33806]"
479,"['10.152.152.11', 33806, '104.86.110.33', 443]"
480,"['104.86.110.33', 443, '10.152.152.11', 33806]"
481,"['10.152.152.11', 33806, '104.86.110.33', 443]"
482,"['104.86.110.33', 443, '10.152.152.11', 33806]"
483,"['10.152.152.11', 33806, '104.86.110.33', 443]"
484,"['104.86.110.33', 443, '10.152.152.11', 33806]"
485,"['10.152.152.11', 33806, '104.86.110.33', 443]"
486,"['104.86.110.33', 443, '10.152.152.11', 33804]"
487,"['10.152.152.11', 33804, '104.86.110.33', 443]"
488,"['104.86.110.33', 443, '10.152.152.11', 33804]"
489,"['10.152.152.11', 33804, '104.86.110.33', 443]"
490,"['104.86.110.33', 443, '10.152.152.11', 33802]"
491,"['10.152.152.11', 33802, '104.86.110.33', 443]"
492,"['104.86.110.33', 443, '10.152.152.11', 33802]"
493,"['10.152.152.11', 33802, '104.86.110.33', 443]"
494,"['104.86.110.33', 443, '10.152.152.11', 33802]"
495,"['10.152.152.11', 33802, '104.86.110.33', 443]"
496,"['104.86.110.33', 443, '10.152.152.11', 33802]"
497,"['10.152.152.11', 33802, '104.86.110.33', 443]"
498,"['104.86.110.33', 443, '10.152.152.11', 33802]"
499,"['10.152.152.11', 33802, '104.86.110.33', 443]"
500,"['104.86.110.33', 443, '10.152.152.11', 33809]"
501,"['10.152.152.11', 33809, '104.86.110.33', 443]"
502,"['104.86.110.33', 443, '10.152.152.11', 33809]"
503,"['10.152.152.11', 33809, '104.86.110.33', 443]"
504,"['104.86.110.33', 443, '10.152.152.11', 33809]"
505,"['10.152.152.11', 33809, '104.86.110.33', 443]"
506,"['104.86.110.33', 443, '10.152.152.11', 33809]"
507,"['10.152.152.11', 33809, '104.86.110.33', 443]"
508,"['104.86.110.33', 443, '10.152.152.11', 33809]"
509,"['10.152.152.11', 33809, '104.86.110.33', 443]"
510,"['2.16.162.51', 443, '10.152.152.11', 50199]"
511,"['10.152.152.11', 50199, '2.16.162.51', 443]"
512,"['2.16.162.51', 443, '10.152.152.11', 50199]"
513,"['10.152.152.11', 50199, '2.16.162.51', 443]"
514,"['2.16.162.51', 443, '10.152.152.11', 50199]"
515,"['10.152.152.11', 50199, '2.16.162.51', 443]"
516,"['2.16.162.51', 443, '10.152.152.11', 50199]"
517,"['10.152.152.11', 50199, '2.16.162.51', 443]"
518,"['2.16.162.51', 443, '10.152.152.11', 50199]"
519,"['10.152.152.11', 50199, '2.16.162.51', 443]"
520,"['10.152.152.11', 50199, '2.16.162.51', 443]"
521,"['46.229.224.29', 443, '10.152.152.11', 56005]"
522,"['2.16.162.51', 443, '10.152.152.11', 50199]"
523,"['46.229.224.29', 443, '10.152.152.11', 56005]"
524,"['10.152.152.11', 56005, '46.229.224.29', 443]"
525,"['46.229.224.29', 443, '10.152.152.11', 56005]"
526,"['104.86.110.33', 443, '10.152.152.11', 33807]"
527,"['104.86.110.33', 443, '10.152.152.11', 33807]"
528,"['10.152.152.11', 33807, '104.86.110.33', 443]"
529,"['104.86.110.33', 443, '10.152.152.11', 33807]"
530,"['104.86.110.33', 443, '10.152.152.11', 33807]"
531,"['10.152.152.11', 33807, '104.86.110.33', 443]"
532,"['104.86.110.33', 443, '10.152.152.11', 33807]"
533,"['10.152.152.11', 33807, '104.86.110.33', 443]"
534,"['10.152.152.11', 33650, '66.220.158.19', 443]"
535,"['66.220.158.19', 443, '10.152.152.11', 33650]"
536,"['10.152.152.11', 33807, '104.86.110.33', 443]"
537,"['10.152.152.11', 33809, '104.86.110.33', 443]"
538,"['104.86.110.33', 443, '10.152.152.11', 33807]"
539,"['104.86.110.33', 443, '10.152.152.11', 33809]"
540,"['10.152.152.11', 33802, '104.86.110.33', 443]"
541,"['104.86.110.33', 443, '10.152.152.11', 33802]"
542,"['10.152.152.11', 33804, '104.86.110.33', 443]"
543,"['104.86.110.33', 443, '10.152.152.11', 33804]"
544,"['10.152.152.11', 33806, '104.86.110.33', 443]"
545,"['104.86.110.33', 443, '10.152.152.11', 33806]"
546,"['10.152.152.11', 39920, '46.229.224.44', 443]"
547,"['46.229.224.44', 443, '10.152.152.11', 39920]"
548,"['10.152.152.11', 39920, '46.229.224.44', 443]"
549,"['46.229.224.44', 443, '10.152.152.11', 39920]"
550,"['10.152.152.11', 39920, '46.229.224.44', 443]"
551,"['46.229.224.44', 443, '10.152.152.11', 39920]"
552,"['2.16.162.51', 443, '10.152.152.11', 50199]"
553,"['10.152.152.11', 50199, '2.16.162.51', 443]"
554,"['2.16.162.51', 443, '10.152.152.11', 50199]"
555,"['104.86.110.33', 443, '10.152.152.11', 33807]"
556,"['10.152.152.11', 33807, '104.86.110.33', 443]"
557,"['104.86.110.33', 443, '10.152.152.11', 33807]"
558,"['10.152.152.11', 33807, '104.86.110.33', 443]"
559,"['10.152.152.11', 33807, '104.86.110.33', 443]"
560,"['104.86.110.33', 443, '10.152.152.11', 33807]"
561,"['104.86.110.33', 443, '10.152.152.11', 33809]"
562,"['10.152.152.11', 33809, '104.86.110.33', 443]"
563,"['10.152.152.11', 33809, '104.86.110.33', 443]"
564,"['104.86.110.33', 443, '10.152.152.11', 33809]"
565,"['104.86.110.33', 443, '10.152.152.11', 33802]"
566,"['10.152.152.11', 33802, '104.86.110.33', 443]"
567,"['10.152.152.11', 33802, '104.86.110.33', 443]"
568,"['104.86.110.33', 443, '10.152.152.11', 33802]"
569,"['104.86.110.33', 443, '10.152.152.11', 33806]"
570,"['10.152.152.11', 33806, '104.86.110.33', 443]"
571,"['104.86.110.33', 443, '10.152.152.11', 33806]"
572,"['10.152.152.11', 33806, '104.86.110.33', 443]"
573,"['104.86.110.33', 443, '10.152.152.11', 33804]"
574,"['10.152.152.11', 33804, '104.86.110.33', 443]"
575,"['46.229.224.44', 443, '10.152.152.11', 39920]"
576,"['66.220.158.19', 443, '10.152.152.11', 33650]"
577,"['10.152.152.11', 33650, '66.220.158.19', 443]"
578,"['10.152.152.11', 39920, '46.229.224.44', 443]"
579,"['46.229.224.44', 443, '10.152.152.11', 39920]"
580,"['10.152.152.11', 39920, '46.229.224.44', 443]"
581,"['2.16.162.51', 443, '10.152.152.11', 50199]"
582,"['10.152.152.11', 39920, '46.229.224.44', 443]"
583,"['46.229.224.44', 443, '10.152.152.11', 39920]"
584,"['10.152.152.11', 50199, '2.16.162.51', 443]"
585,"['2.16.162.51', 443, '10.152.152.11', 50199]"
586,"['10.152.152.11', 50199, '2.16.162.51', 443]"
587,"['66.220.158.19', 443, '10.152.152.11', 33650]"
588,"['10.152.152.11', 33650, '66.220.158.19', 443]"
589,"['66.220.158.19', 443, '10.152.152.11', 33650]"
590,"['10.152.152.11', 33650, '66.220.158.19', 443]"
591,"['104.86.110.33', 443, '10.152.152.11', 33807]"
592,"['10.152.152.11', 33807, '104.86.110.33', 443]"
593,"['104.86.110.33', 443, '10.152.152.11', 33807]"
594,"['10.152.152.11', 33807, '104.86.110.33', 443]"
595,"['66.220.158.19', 443, '10.152.152.11', 33650]"
596,"['10.152.152.11', 33650, '66.220.158.19', 443]"
597,"['10.152.152.11', 33796, '104.86.110.33', 443]"
598,"['10.152.152.11', 33797, '104.86.110.33', 443]"
599,"['104.86.110.33', 443, '10.152.152.11', 33796]"
600,"['104.86.110.33', 443, '10.152.152.11', 33797]"
601,"['104.86.110.33', 443, '10.152.152.11', 33809]"
602,"['104.86.110.33', 443, '10.152.152.11', 33802]"
603,"['104.86.110.33', 443, '10.152.152.11', 33802]"
604,"['10.152.152.11', 33802, '104.86.110.33', 443]"
605,"['104.86.110.33', 443, '10.152.152.11', 33802]"
606,"['10.152.152.11', 33809, '104.86.110.33', 443]"
607,"['10.152.152.11', 33802, '104.86.110.33', 443]"
608,"['10.152.152.11', 33650, '66.220.158.19', 443]"
609,"['66.220.158.19', 443, '10.152.152.11', 33650]"
610,"['10.152.152.11', 33650, '66.220.158.19', 443]"
611,"['66.220.158.19', 443, '10.152.152.11', 33650]"
612,"['104.86.110.33', 443, '10.152.152.11', 33796]"
613,"['10.152.152.11', 33796, '104.86.110.33', 443]"
614,"['104.86.110.33', 443, '10.152.152.11', 33796]"
615,"['10.152.152.11', 33796, '104.86.110.33', 443]"
616,"['104.86.110.33', 443, '10.152.152.11', 33797]"
617,"['10.152.152.11', 33797, '104.86.110.33', 443]"
618,"['104.86.110.33', 443, '10.152.152.11', 33797]"
619,"['10.152.152.11', 33797, '104.86.110.33', 443]"
620,"['104.86.110.33', 443, '10.152.152.11', 33797]"
621,"['10.152.152.11', 33797, '104.86.110.33', 443]"
622,"['66.220.158.19', 443, '10.152.152.11', 33650]"
623,"['10.152.152.11', 33650, '66.220.158.19', 443]"
624,"['66.220.158.19', 443, '10.152.152.11', 33650]"
625,"['10.152.152.11', 33650, '66.220.158.19', 443]"
626,"['66.220.158.19', 443, '10.152.152.11', 33650]"
627,"['10.152.152.11', 33650, '66.220.158.19', 443]"
628,"['66.220.158.19', 443, '10.152.152.11', 33650]"
629,"['10.152.152.11', 33650, '66.220.158.19', 443]"
630,"['31.13.93.3', 443, '10.152.152.11', 34010]"
631,"['10.152.152.11', 34010, '31.13.93.3', 443]"
632,"['31.13.93.3', 443, '10.152.152.11', 34010]"
633,"['10.152.152.11', 34010, '31.13.93.3', 443]"
634,"['10.152.152.11', 33650, '66.220.158.19', 443]"
635,"['10.152.152.11', 33650, '66.220.158.19', 443]"
636,"['66.220.158.19', 443, '10.152.152.11', 33650]"
637,"['66.220.158.19', 443, '10.152.152.11', 33650]"
638,"['10.152.152.11', 33802, '104.86.110.33', 443]"
639,"['104.86.110.33', 443, '10.152.152.11', 33802]"
640,"['10.152.152.11', 34010, '31.13.93.3', 443]"
641,"['31.13.93.3', 443, '10.152.152.11', 34010]"
642,"['104.86.110.33', 443, '10.152.152.11', 33802]"
643,"['10.152.152.11', 33802, '104.86.110.33', 443]"
644,"['104.86.110.33', 443, '10.152.152.11', 33802]"
645,"['10.152.152.11', 33802, '104.86.110.33', 443]"
646,"['104.86.110.33', 443, '10.152.152.11', 33802]"
647,"['10.152.152.11', 33802, '104.86.110.33', 443]"
648,"['104.86.110.33', 443, '10.152.152.11', 33802]"
649,"['10.152.152.11', 33802, '104.86.110.33', 443]"
650,"['66.220.158.19', 443, '10.152.152.11', 33650]"
651,"['10.152.152.11', 33650, '66.220.158.19', 443]"
652,"['104.86.110.33', 443, '10.152.152.11', 33802]"
653,"['10.152.152.11', 33802, '104.86.110.33', 443]"
654,"['104.86.110.33', 443, '10.152.152.11', 33802]"
655,"['10.152.152.11', 33802, '104.86.110.33', 443]"
656,"['104.86.110.33', 443, '10.152.152.11', 33802]"
657,"['10.152.152.11', 33802, '104.86.110.33', 443]"
658,"['31.13.93.3', 443, '10.152.152.11', 34010]"
659,"['10.152.152.11', 34010, '31.13.93.3', 443]"
660,"['31.13.93.3', 443, '10.152.152.11', 34010]"
661,"['10.152.152.11', 34010, '31.13.93.3', 443]"
662,"['10.152.152.11', 34010, '31.13.93.3', 443]"
663,"['31.13.93.3', 443, '10.152.152.11', 34010]"
664,"['66.220.158.19', 443, '10.152.152.11', 33650]"
665,"['10.152.152.11', 33650, '66.220.158.19', 443]"
666,"['66.220.158.19', 443, '10.152.152.11', 33650]"
667,"['10.152.152.11', 33650, '66.220.158.19', 443]"
668,"['66.220.158.19', 443, '10.152.152.11', 33650]"
669,"['10.152.152.11', 33650, '66.220.158.19', 443]"
670,"['10.152.152.11', 34927, '173.194.204.188', 5228]"
671,"['173.194.204.188', 5228, '10.152.152.11', 34927]"
672,"['10.152.152.11', 33650, '66.220.158.19', 443]"
673,"['66.220.158.19', 443, '10.152.152.11', 33650]"
674,"['10.152.152.11', 33650, '66.220.158.19', 443]"
675,"['66.220.158.19', 443, '10.152.152.11', 33650]"
676,"['66.220.158.19', 443, '10.152.152.11', 33650]"
677,"['10.152.152.11', 33650, '66.220.158.19', 443]"
678,"['66.220.158.19', 443, '10.152.152.11', 33650]"
679,"['10.152.152.11', 33650, '66.220.158.19', 443]"
680,"['66.220.158.19', 443, '10.152.152.11', 33650]"
681,"['10.152.152.11', 33650, '66.220.158.19', 443]"
682,"['66.220.158.19', 443, '10.152.152.11', 33650]"
683,"['10.152.152.11', 33650, '66.220.158.19', 443]"
684,"['10.152.152.11', 33650, '66.220.158.19', 443]"
685,"['66.220.158.19', 443, '10.152.152.11', 33650]"
686,"['10.152.152.11', 33650, '66.220.158.19', 443]"
687,"['10.152.152.11', 33650, '66.220.158.19', 443]"
688,"['66.220.158.19', 443, '10.152.152.11', 33650]"
689,"['66.220.158.19', 443, '10.152.152.11', 33650]"
690,"['66.220.158.19', 443, '10.152.152.11', 33650]"
691,"['10.152.152.11', 33650, '66.220.158.19', 443]"
692,"['31.13.93.3', 443, '10.152.152.11', 34010]"
693,"['10.152.152.11', 34010, '31.13.93.3', 443]"
694,"['31.13.93.3', 443, '10.152.152.11', 34010]"
695,"['10.152.152.11', 34010, '31.13.93.3', 443]"
696,"['66.220.158.19', 443, '10.152.152.11', 33650]"
697,"['10.152.152.11', 33650, '66.220.158.19', 443]"
698,"['10.152.152.11', 34010, '31.13.93.3', 443]"
699,"['31.13.93.3', 443, '10.152.152.11', 34010]"
700,"['66.220.158.19', 443, '10.152.152.11', 33650]"
701,"['10.152.152.11', 33650, '66.220.158.19', 443]"
702,"['66.220.158.19', 443, '10.152.152.11', 33650]"
703,"['10.152.152.11', 33650, '66.220.158.19', 443]"
704,"['31.13.93.3', 443, '10.152.152.11', 34010]"
705,"['10.152.152.11', 34010, '31.13.93.3', 443]"
706,"['31.13.93.3', 443, '10.152.152.11', 34010]"
707,"['10.152.152.11', 34010, '31.13.93.3', 443]"
708,"['10.152.152.11', 34010, '31.13.93.3', 443]"
709,"['31.13.93.3', 443, '10.152.152.11', 34010]"
710,"['31.13.93.3', 443, '10.152.152.11', 34010]"
711,"['10.152.152.11', 34010, '31.13.93.3', 443]"
712,"['31.13.93.3', 443, '10.152.152.11', 34010]"
713,"['10.152.152.11', 34010, '31.13.93.3', 443]"
714,"['10.152.152.11', 34010, '31.13.93.3', 443]"
715,"['31.13.93.3', 443, '10.152.152.11', 34010]"
716,"['31.13.93.3', 443, '10.152.152.11', 34010]"
717,"['10.152.152.11', 34010, '31.13.93.3', 443]"
718,"['31.13.93.3', 443, '10.152.152.11', 34010]"
719,"['10.152.152.11', 34010, '31.13.93.3', 443]"
720,"['10.152.152.11', 33650, '66.220.158.19', 443]"
721,"['10.152.152.11', 33650, '66.220.158.19', 443]"
722,"['66.220.158.19', 443, '10.152.152.11', 33650]"
723,"['66.220.158.19', 443, '10.152.152.11', 33650]"
724,"['10.152.152.11', 34010, '31.13.93.3', 443]"
725,"['31.13.93.3', 443, '10.152.152.11', 34010]"
726,"['66.220.158.19', 443, '10.152.152.11', 33650]"
727,"['10.152.152.11', 33650, '66.220.158.19', 443]"
728,"['31.13.93.3', 443, '10.152.152.11', 34010]"
729,"['10.152.152.11', 34010, '31.13.93.3', 443]"
730,"['31.13.93.3', 443, '10.152.152.11', 34010]"
731,"['10.152.152.11', 34010, '31.13.93.3', 443]"
732,"['10.152.152.11', 34010, '31.13.93.3', 443]"
733,"['31.13.93.3', 443, '10.152.152.11', 34010]"
734,"['66.220.158.19', 443, '10.152.152.11', 33650]"
735,"['10.152.152.11', 33650, '66.220.158.19', 443]"
736,"['66.220.158.19', 443, '10.152.152.11', 33650]"
737,"['10.152.152.11', 33650, '66.220.158.19', 443]"
738,"['66.220.158.19', 443, '10.152.152.11', 33650]"
739,"['10.152.152.11', 33650, '66.220.158.19', 443]"
740,"['10.152.152.11', 33800, '104.86.110.33', 443]"
741,"['104.86.110.33', 443, '10.152.152.11', 33800]"
742,"['10.152.152.11', 33650, '66.220.158.19', 443]"
743,"['66.220.158.19', 443, '10.152.152.11', 33650]"
744,"['10.152.152.11', 33650, '66.220.158.19', 443]"
745,"['66.220.158.19', 443, '10.152.152.11', 33650]"
746,"['10.152.152.11', 33650, '66.220.158.19', 443]"
747,"['66.220.158.19', 443, '10.152.152.11', 33650]"
748,"['66.220.158.19', 443, '10.152.152.11', 33650]"
749,"['10.152.152.11', 33650, '66.220.158.19', 443]"
750,"['66.220.158.19', 443, '10.152.152.11', 33650]"
751,"['10.152.152.11', 33650, '66.220.158.19', 443]"
752,"['66.220.158.19', 443, '10.152.152.11', 33650]"
753,"['10.152.152.11', 33650, '66.220.158.19', 443]"
754,"['66.220.158.19', 443, '10.152.152.11', 33650]"
755,"['10.152.152.11', 33650, '66.220.158.19', 443]"
756,"['66.220.158.19', 443, '10.152.152.11', 33650]"
757,"['10.152.152.11', 33650, '66.220.158.19', 443]"
758,"['104.86.110.33', 443, '10.152.152.11', 33800]"
759,"['10.152.152.11', 33800, '104.86.110.33', 443]"
760,"['104.86.110.33', 443, '10.152.152.11', 33800]"
761,"['10.152.152.11', 33800, '104.86.110.33', 443]"
762,"['10.152.152.11', 33650, '66.220.158.19', 443]"
763,"['66.220.158.19', 443, '10.152.152.11', 33650]"
764,"['10.152.152.11', 33650, '66.220.158.19', 443]"
765,"['10.152.152.11', 33650, '66.220.158.19', 443]"
766,"['66.220.158.19', 443, '10.152.152.11', 33650]"
767,"['66.220.158.19', 443, '10.152.152.11', 33650]"
768,"['66.220.158.19', 443, '10.152.152.11', 33650]"
769,"['10.152.152.11', 33650, '66.220.158.19', 443]"
770,"['66.220.158.19', 443, '10.152.152.11', 33650]"
771,"['10.152.152.11', 33650, '66.220.158.19', 443]"
772,"['31.13.93.3', 443, '10.152.152.11', 34010]"
773,"['10.152.152.11', 34010, '31.13.93.3', 443]"
774,"['31.13.93.3', 443, '10.152.152.11', 34010]"
775,"['10.152.152.11', 34010, '31.13.93.3', 443]"
776,"['66.220.158.19', 443, '10.152.152.11', 33650]"
777,"['10.152.152.11', 33650, '66.220.158.19', 443]"
778,"['10.152.152.11', 34010, '31.13.93.3', 443]"
779,"['31.13.93.3', 443, '10.152.152.11', 34010]"
780,"['66.220.158.19', 443, '10.152.152.11', 33650]"
781,"['10.152.152.11', 33650, '66.220.158.19', 443]"
782,"['31.13.93.3', 443, '10.152.152.11', 34010]"
783,"['10.152.152.11', 34010, '31.13.93.3', 443]"
784,"['31.13.93.3', 443, '10.152.152.11', 34010]"
785,"['10.152.152.11', 34010, '31.13.93.3', 443]"
786,"['10.152.152.11', 34010, '31.13.93.3', 443]"
787,"['31.13.93.3', 443, '10.152.152.11', 34010]"
788,"['31.13.93.3', 443, '10.152.152.11', 34010]"
789,"['10.152.152.11', 34010, '31.13.93.3', 443]"
790,"['31.13.93.3', 443, '10.152.152.11', 34010]"
791,"['10.152.152.11', 34010, '31.13.93.3', 443]"
792,"['10.152.152.11', 34010, '31.13.93.3', 443]"
793,"['31.13.93.3', 443, '10.152.152.11', 34010]"
794,"['10.152.152.11', 33650, '66.220.158.19', 443]"
795,"['66.220.158.19', 443, '10.152.152.11', 33650]"
796,"['10.152.152.11', 33650, '66.220.158.19', 443]"
797,"['10.152.152.11', 33650, '66.220.158.19', 443]"
798,"['66.220.158.19', 443, '10.152.152.11', 33650]"
799,"['66.220.158.19', 443, '10.152.152.11', 33650]"
800,"['66.220.158.19', 443, '10.152.152.11', 33650]"
801,"['10.152.152.11', 33650, '66.220.158.19', 443]"
802,"['31.13.93.3', 443, '10.152.152.11', 34010]"
803,"['10.152.152.11', 34010, '31.13.93.3', 443]"
804,"['31.13.93.3', 443, '10.152.152.11', 34010]"
805,"['10.152.152.11', 34010, '31.13.93.3', 443]"
806,"['66.220.158.19', 443, '10.152.152.11', 33650]"
807,"['10.152.152.11', 33650, '66.220.158.19', 443]"
808,"['10.152.152.11', 34010, '31.13.93.3', 443]"
809,"['31.13.93.3', 443, '10.152.152.11', 34010]"
810,"['10.152.152.11', 33799, '104.86.110.33', 443]"
811,"['104.86.110.33', 443, '10.152.152.11', 33799]"
812,"['10.152.152.11', 33801, '104.86.110.33', 443]"
813,"['104.86.110.33', 443, '10.152.152.11', 33801]"
814,"['66.220.158.19', 443, '10.152.152.11', 33650]"
815,"['10.152.152.11', 33650, '66.220.158.19', 443]"
816,"['10.152.152.11', 33800, '104.86.110.33', 443]"
817,"['104.86.110.33', 443, '10.152.152.11', 33800]"
818,"['66.220.158.19', 443, '10.152.152.11', 33650]"
819,"['10.152.152.11', 33650, '66.220.158.19', 443]"
820,"['31.13.93.3', 443, '10.152.152.11', 34010]"
821,"['10.152.152.11', 34010, '31.13.93.3', 443]"
822,"['31.13.93.3', 443, '10.152.152.11', 34010]"
823,"['10.152.152.11', 34010, '31.13.93.3', 443]"
824,"['10.152.152.11', 34010, '31.13.93.3', 443]"
825,"['31.13.93.3', 443, '10.152.152.11', 34010]"
826,"['10.152.152.11', 33804, '104.86.110.33', 443]"
827,"['10.152.152.11', 33806, '104.86.110.33', 443]"
828,"['104.86.110.33', 443, '10.152.152.11', 33804]"
829,"['104.86.110.33', 443, '10.152.152.11', 33806]"
830,"['10.152.152.11', 39920, '46.229.224.44', 443]"
831,"['46.229.224.44', 443, '10.152.152.11', 39920]"
832,"['10.152.152.11', 50199, '2.16.162.51', 443]"
833,"['2.16.162.51', 443, '10.152.152.11', 50199]"
834,"['10.152.152.11', 33807, '104.86.110.33', 443]"
835,"['104.86.110.33', 443, '10.152.152.11', 33807]"
836,"['10.152.152.11', 33809, '104.86.110.33', 443]"
837,"['104.86.110.33', 443, '10.152.152.11', 33809]"
838,"['10.152.152.11', 33796, '104.86.110.33', 443]"
839,"['104.86.110.33', 443, '10.152.152.11', 33796]"
840,"['10.152.152.11', 33797, '104.86.110.33', 443]"
841,"['104.86.110.33', 443, '10.152.152.11', 33797]"
842,"['31.13.93.3', 443, '10.152.152.11', 34010]"
843,"['10.152.152.11', 34010, '31.13.93.3', 443]"
844,"['31.13.93.3', 443, '10.152.152.11', 34010]"
845,"['10.152.152.11', 34010, '31.13.93.3', 443]"
846,"['10.152.152.11', 34010, '31.13.93.3', 443]"
847,"['31.13.93.3', 443, '10.152.152.11', 34010]"
848,"['31.13.93.3', 443, '10.152.152.11', 34010]"
849,"['10.152.152.11', 34010, '31.13.93.3', 443]"
850,"['10.152.152.11', 33802, '104.86.110.33', 443]"
851,"['104.86.110.33', 443, '10.152.152.11', 33802]"
852,"['31.13.93.3', 443, '10.152.152.11', 34010]"
853,"['10.152.152.11', 34010, '31.13.93.3', 443]"
854,"['10.152.152.11', 34010, '31.13.93.3', 443]"
855,"['31.13.93.3', 443, '10.152.152.11', 34010]"
856,"['31.13.93.3', 443, '10.152.152.11', 34010]"
857,"['10.152.152.11', 34927, '173.194.204.188', 5228]"
858,"['10.152.152.11', 34010, '31.13.93.3', 443]"
859,"['173.194.204.188', 5228, '10.152.152.11', 34927]"
860,"['31.13.93.3', 443, '10.152.152.11', 34010]"
861,"['10.152.152.11', 34010, '31.13.93.3', 443]"
862,"['10.152.152.11', 33650, '66.220.158.19', 443]"
863,"['66.220.158.19', 443, '10.152.152.11', 33650]"
864,"['10.152.152.11', 33650, '66.220.158.19', 443]"
865,"['66.220.158.19', 443, '10.152.152.11', 33650]"
866,"['10.152.152.11', 33650, '66.220.158.19', 443]"
867,"['66.220.158.19', 443, '10.152.152.11', 33650]"
868,"['10.152.152.11', 33650, '66.220.158.19', 443]"
869,"['66.220.158.19', 443, '10.152.152.11', 33650]"
870,"['10.152.152.11', 34010, '31.13.93.3', 443]"
871,"['31.13.93.3', 443, '10.152.152.11', 34010]"
872,"['66.220.158.19', 443, '10.152.152.11', 33650]"
873,"['10.152.152.11', 33650, '66.220.158.19', 443]"
874,"['66.220.158.19', 443, '10.152.152.11', 33650]"
875,"['10.152.152.11', 33650, '66.220.158.19', 443]"
876,"['66.220.158.19', 443, '10.152.152.11', 33650]"
877,"['10.152.152.11', 33650, '66.220.158.19', 443]"
878,"['66.220.158.19', 443, '10.152.152.11', 33650]"
879,"['10.152.152.11', 33650, '66.220.158.19', 443]"
880,"['31.13.93.3', 443, '10.152.152.11', 34010]"
881,"['10.152.152.11', 34010, '31.13.93.3', 443]"
882,"['10.152.152.11', 34010, '31.13.93.3', 443]"
883,"['31.13.93.3', 443, '10.152.152.11', 34010]"
884,"['66.220.158.19', 443, '10.152.152.11', 33650]"
885,"['10.152.152.11', 33650, '66.220.158.19', 443]"
886,"['66.220.158.19', 443, '10.152.152.11', 33650]"
887,"['10.152.152.11', 33650, '66.220.158.19', 443]"
888,"['66.220.158.19', 443, '10.152.152.11', 33650]"
889,"['10.152.152.11', 33650, '66.220.158.19', 443]"
890,"['31.13.93.3', 443, '10.152.152.11', 34010]"
891,"['10.152.152.11', 34010, '31.13.93.3', 443]"
892,"['31.13.93.3', 443, '10.152.152.11', 34010]"
893,"['10.152.152.11', 34010, '31.13.93.3', 443]"
894,"['10.152.152.11', 33650, '66.220.158.19', 443]"
895,"['66.220.158.19', 443, '10.152.152.11', 33650]"
896,"['10.152.152.11', 33650, '66.220.158.19', 443]"
897,"['66.220.158.19', 443, '10.152.152.11', 33650]"
898,"['10.152.152.11', 33650, '66.220.158.19', 443]"
899,"['66.220.158.19', 443, '10.152.152.11', 33650]"
900,"['10.152.152.11', 33650, '66.220.158.19', 443]"
901,"['66.220.158.19', 443, '10.152.152.11', 33650]"
902,"['10.152.152.11', 34010, '31.13.93.3', 443]"
903,"['31.13.93.3', 443, '10.152.152.11', 34010]"
904,"['66.220.158.19', 443, '10.152.152.11', 33650]"
905,"['10.152.152.11', 33650, '66.220.158.19', 443]"
906,"['66.220.158.19', 443, '10.152.152.11', 33650]"
907,"['10.152.152.11', 33650, '66.220.158.19', 443]"
908,"['66.220.158.19', 443, '10.152.152.11', 33650]"
909,"['10.152.152.11', 33650, '66.220.158.19', 443]"
910,"['66.220.158.19', 443, '10.152.152.11', 33650]"
911,"['10.152.152.11', 33650, '66.220.158.19', 443]"
912,"['66.220.158.19', 443, '10.152.152.11', 33650]"
913,"['10.152.152.11', 33650, '66.220.158.19', 443]"
914,"['66.220.158.19', 443, '10.152.152.11', 33650]"
915,"['10.152.152.11', 33650, '66.220.158.19', 443]"
916,"['66.220.158.19', 443, '10.152.152.11', 33650]"
917,"['10.152.152.11', 33650, '66.220.158.19', 443]"
918,"['66.220.158.19', 443, '10.152.152.11', 33650]"
919,"['10.152.152.11', 33650, '66.220.158.19', 443]"
920,"['31.13.93.3', 443, '10.152.152.11', 34010]"
921,"['10.152.152.11', 34010, '31.13.93.3', 443]"
922,"['31.13.93.3', 443, '10.152.152.11', 34010]"
923,"['10.152.152.11', 34010, '31.13.93.3', 443]"
924,"['10.152.152.11', 34010, '31.13.93.3', 443]"
925,"['31.13.93.3', 443, '10.152.152.11', 34010]"
926,"['10.152.152.11', 33650, '66.220.158.19', 443]"
927,"['66.220.158.19', 443, '10.152.152.11', 33650]"
928,"['10.152.152.11', 33650, '66.220.158.19', 443]"
929,"['66.220.158.19', 443, '10.152.152.11', 33650]"
930,"['31.13.93.3', 443, '10.152.152.11', 34010]"
