,AIM_Chat.pcap
449,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
450,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
451,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
452,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
453,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
454,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
455,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
456,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
457,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
458,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
459,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
460,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
461,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
462,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
463,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
464,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
465,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
466,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
467,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
468,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
469,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
470,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
471,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
472,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
473,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
474,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
475,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
476,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
477,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
478,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
479,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
480,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
481,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
482,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
483,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
484,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
485,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
486,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
487,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
488,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
489,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
490,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
491,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
492,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
493,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
494,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
495,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
496,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
497,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
498,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
499,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
500,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
501,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
502,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
503,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
504,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
505,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
506,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
507,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
508,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
509,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
510,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
511,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
512,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
513,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
514,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
515,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
516,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
517,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
518,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
519,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
520,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
521,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
522,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
523,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
524,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
525,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
