,browsing2-2.pcap
13204,"['10.152.152.11', 56277, '54.251.136.58', 80]"
13205,"['54.251.136.58', 80, '10.152.152.11', 56274]"
13206,"['54.251.136.58', 80, '10.152.152.11', 56277]"
13207,"['10.152.152.11', 57480, '216.58.213.238', 443]"
13208,"['216.58.213.238', 443, '10.152.152.11', 57480]"
13209,"['10.152.152.11', 57641, '216.58.213.225', 443]"
13210,"['216.58.213.225', 443, '10.152.152.11', 57641]"
13211,"['10.152.152.11', 56278, '54.251.136.58', 80]"
13212,"['54.251.136.58', 80, '10.152.152.11', 56278]"
13213,"['10.152.152.11', 56273, '54.251.136.58', 80]"
13214,"['54.251.136.58', 80, '10.152.152.11', 56273]"
13215,"['216.58.213.238', 443, '10.152.152.11', 57480]"
13216,"['10.152.152.11', 57480, '216.58.213.238', 443]"
13217,"['10.152.152.11', 40508, '192.230.82.43', 80]"
13218,"['192.230.82.43', 80, '10.152.152.11', 40508]"
13219,"['10.152.152.11', 42308, '46.4.104.106', 80]"
13220,"['46.4.104.106', 80, '10.152.152.11', 42308]"
13221,"['216.58.213.225', 443, '10.152.152.11', 57641]"
13222,"['10.152.152.11', 57641, '216.58.213.225', 443]"
13223,"['10.152.152.11', 53416, '23.14.95.99', 80]"
13224,"['23.14.95.99', 80, '10.152.152.11', 53416]"
13225,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
13226,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
13227,"['10.152.152.11', 53416, '23.14.95.99', 80]"
13228,"['23.14.95.99', 80, '10.152.152.11', 53416]"
13229,"['10.152.152.11', 56275, '54.251.136.58', 80]"
13230,"['54.251.136.58', 80, '10.152.152.11', 56275]"
13231,"['10.152.152.11', 56221, '198.47.127.11', 80]"
13232,"['198.47.127.11', 80, '10.152.152.11', 56221]"
13233,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
13234,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
13235,"['23.14.95.99', 80, '10.152.152.11', 53416]"
13236,"['10.152.152.11', 53416, '23.14.95.99', 80]"
13237,"['10.152.152.11', 32943, '66.220.156.68', 443]"
13238,"['66.220.156.68', 443, '10.152.152.11', 32943]"
13239,"['10.152.152.11', 56276, '54.251.136.58', 80]"
13240,"['54.251.136.58', 80, '10.152.152.11', 56276]"
13241,"['10.152.152.11', 53205, '72.21.81.253', 80]"
13242,"['72.21.81.253', 80, '10.152.152.11', 53205]"
13243,"['66.220.156.68', 443, '10.152.152.11', 32943]"
13244,"['10.152.152.11', 32943, '66.220.156.68', 443]"
13245,"['10.152.152.11', 43167, '173.194.112.185', 80]"
13246,"['173.194.112.185', 80, '10.152.152.11', 43167]"
13247,"['10.152.152.11', 48325, '2.20.188.186', 80]"
13248,"['2.20.188.186', 80, '10.152.152.11', 48325]"
13249,"['10.152.152.11', 53207, '72.21.81.253', 80]"
13250,"['72.21.81.253', 80, '10.152.152.11', 53207]"
13251,"['10.152.152.11', 60037, '46.134.193.35', 80]"
13252,"['46.134.193.35', 80, '10.152.152.11', 60037]"
13253,"['10.152.152.11', 49012, '23.14.95.96', 80]"
13254,"['23.14.95.96', 80, '10.152.152.11', 49012]"
13255,"['208.100.17.174', 80, '10.152.152.11', 42565]"
13256,"['10.152.152.11', 42565, '208.100.17.174', 80]"
13257,"['208.100.17.174', 80, '10.152.152.11', 42565]"
13258,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
13259,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
13260,"['10.152.152.11', 42591, '208.100.17.174', 80]"
13261,"['208.100.17.174', 80, '10.152.152.11', 42591]"
13262,"['10.152.152.11', 37019, '173.194.116.141', 80]"
13263,"['173.194.116.141', 80, '10.152.152.11', 37019]"
13264,"['10.152.152.11', 39132, '185.31.17.249', 80]"
13265,"['185.31.17.249', 80, '10.152.152.11', 39132]"
13266,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
13267,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
13268,"['10.152.152.11', 53204, '72.21.81.253', 80]"
13269,"['72.21.81.253', 80, '10.152.152.11', 53204]"
13270,"['10.152.152.11', 50256, '173.241.250.219', 80]"
13271,"['173.241.250.219', 80, '10.152.152.11', 50256]"
13272,"['10.152.152.11', 39455, '104.244.42.72', 443]"
13273,"['104.244.42.72', 443, '10.152.152.11', 39455]"
13274,"['10.152.152.11', 40800, '23.23.164.218', 80]"
13275,"['23.23.164.218', 80, '10.152.152.11', 40800]"
13276,"['10.152.152.11', 53206, '72.21.81.253', 80]"
13277,"['72.21.81.253', 80, '10.152.152.11', 53206]"
13278,"['10.152.152.11', 38918, '173.194.116.131', 80]"
13279,"['173.194.116.131', 80, '10.152.152.11', 38918]"
13280,"['104.244.42.72', 443, '10.152.152.11', 39455]"
13281,"['10.152.152.11', 39455, '104.244.42.72', 443]"
13282,"['208.100.17.174', 80, '10.152.152.11', 42591]"
13283,"['10.152.152.11', 42591, '208.100.17.174', 80]"
13284,"['10.152.152.11', 47609, '104.16.87.26', 80]"
13285,"['104.16.87.26', 80, '10.152.152.11', 47609]"
13286,"['208.100.17.174', 80, '10.152.152.11', 42591]"
13287,"['10.152.152.11', 42591, '208.100.17.174', 80]"
13288,"['10.152.152.11', 52018, '23.14.95.106', 80]"
13289,"['23.14.95.106', 80, '10.152.152.11', 52018]"
13290,"['208.100.17.174', 80, '10.152.152.11', 42591]"
13291,"['10.152.152.11', 42591, '208.100.17.174', 80]"
13292,"['10.152.152.11', 44793, '2.20.189.9', 80]"
13293,"['2.20.189.9', 80, '10.152.152.11', 44793]"
13294,"['208.100.17.174', 80, '10.152.152.11', 42591]"
13295,"['10.152.152.11', 42591, '208.100.17.174', 80]"
13296,"['10.152.152.11', 50284, '173.241.250.219', 80]"
13297,"['173.241.250.219', 80, '10.152.152.11', 50284]"
13298,"['10.152.152.11', 60042, '46.134.193.35', 80]"
13299,"['46.134.193.35', 80, '10.152.152.11', 60042]"
13300,"['10.152.152.11', 57742, '23.35.109.37', 80]"
13301,"['23.35.109.37', 80, '10.152.152.11', 57742]"
13302,"['10.152.152.11', 33073, '52.90.81.241', 80]"
13303,"['52.90.81.241', 80, '10.152.152.11', 33073]"
13304,"['10.152.152.11', 40669, '185.31.17.175', 80]"
13305,"['185.31.17.175', 80, '10.152.152.11', 40669]"
13306,"['10.152.152.11', 43396, '185.57.60.185', 80]"
13307,"['185.57.60.185', 80, '10.152.152.11', 43396]"
13308,"['10.152.152.11', 38272, '192.230.68.216', 80]"
13309,"['192.230.68.216', 80, '10.152.152.11', 38272]"
13310,"['10.152.152.11', 42554, '54.169.46.48', 80]"
13311,"['54.169.46.48', 80, '10.152.152.11', 42554]"
13312,"['10.152.152.11', 60928, '131.202.240.56', 80]"
13313,"['131.202.240.56', 80, '10.152.152.11', 60928]"
13314,"['10.152.152.11', 42579, '54.169.46.48', 80]"
13315,"['54.169.46.48', 80, '10.152.152.11', 42579]"
13316,"['10.152.152.11', 43320, '46.137.81.30', 80]"
13317,"['10.152.152.11', 56669, '46.228.164.13', 80]"
13318,"['46.137.81.30', 80, '10.152.152.11', 43320]"
13319,"['46.228.164.13', 80, '10.152.152.11', 56669]"
13320,"['10.152.152.11', 53155, '54.72.194.249', 80]"
13321,"['54.72.194.249', 80, '10.152.152.11', 53155]"
13322,"['10.152.152.11', 42409, '72.21.202.25', 80]"
13323,"['72.21.202.25', 80, '10.152.152.11', 42409]"
13324,"['10.152.152.11', 53156, '54.72.194.249', 80]"
13325,"['54.72.194.249', 80, '10.152.152.11', 53156]"
13326,"['10.152.152.11', 48307, '2.20.188.186', 80]"
13327,"['2.20.188.186', 80, '10.152.152.11', 48307]"
13328,"['10.152.152.11', 60927, '131.202.240.56', 80]"
13329,"['131.202.240.56', 80, '10.152.152.11', 60927]"
13330,"['10.152.152.11', 47651, '50.31.164.174', 80]"
13331,"['50.31.164.174', 80, '10.152.152.11', 47651]"
13332,"['10.152.152.11', 43397, '185.57.60.185', 80]"
13333,"['185.57.60.185', 80, '10.152.152.11', 43397]"
13334,"['10.152.152.11', 33398, '54.230.10.248', 443]"
13335,"['54.230.10.248', 443, '10.152.152.11', 33398]"
13336,"['10.152.152.11', 34789, '173.241.250.221', 80]"
13337,"['173.241.250.221', 80, '10.152.152.11', 34789]"
13338,"['10.152.152.11', 43381, '54.230.14.247', 80]"
13339,"['54.230.14.247', 80, '10.152.152.11', 43381]"
13340,"['10.152.152.11', 57365, '173.241.250.212', 80]"
13341,"['173.241.250.212', 80, '10.152.152.11', 57365]"
13342,"['10.152.152.11', 43379, '54.230.14.247', 80]"
13343,"['54.230.14.247', 80, '10.152.152.11', 43379]"
13344,"['10.152.152.11', 34790, '173.241.250.221', 80]"
13345,"['173.241.250.221', 80, '10.152.152.11', 34790]"
13346,"['10.152.152.11', 43281, '173.194.112.185', 80]"
13347,"['173.194.112.185', 80, '10.152.152.11', 43281]"
13348,"['10.152.152.11', 59292, '46.228.164.11', 80]"
13349,"['10.152.152.11', 59199, '104.244.43.236', 80]"
13350,"['10.152.152.11', 43380, '54.230.14.247', 80]"
13351,"['10.152.152.11', 43376, '54.230.14.247', 80]"
13352,"['10.152.152.11', 43377, '54.230.14.247', 80]"
13353,"['46.228.164.11', 80, '10.152.152.11', 59292]"
13354,"['104.244.43.236', 80, '10.152.152.11', 59199]"
13355,"['54.230.14.247', 80, '10.152.152.11', 43380]"
13356,"['54.230.14.247', 80, '10.152.152.11', 43376]"
13357,"['54.230.14.247', 80, '10.152.152.11', 43377]"
13358,"['10.152.152.11', 43282, '173.194.112.185', 80]"
13359,"['173.194.112.185', 80, '10.152.152.11', 43282]"
13360,"['10.152.152.11', 43378, '54.230.14.247', 80]"
13361,"['54.230.14.247', 80, '10.152.152.11', 43378]"
13362,"['10.152.152.11', 43266, '173.194.112.185', 80]"
13363,"['173.194.112.185', 80, '10.152.152.11', 43266]"
13364,"['10.152.152.11', 59261, '46.228.164.11', 80]"
13365,"['46.228.164.11', 80, '10.152.152.11', 59261]"
13366,"['10.152.152.11', 54721, '54.221.220.140', 80]"
13367,"['54.221.220.140', 80, '10.152.152.11', 54721]"
13368,"['10.152.152.11', 55632, '54.240.160.165', 80]"
13369,"['54.240.160.165', 80, '10.152.152.11', 55632]"
13370,"['10.152.152.11', 50658, '52.21.118.252', 80]"
13371,"['52.21.118.252', 80, '10.152.152.11', 50658]"
13372,"['10.152.152.11', 44738, '2.20.189.9', 80]"
13373,"['2.20.189.9', 80, '10.152.152.11', 44738]"
13374,"['10.152.152.11', 60353, '52.70.118.59', 80]"
13375,"['52.70.118.59', 80, '10.152.152.11', 60353]"
13376,"['10.152.152.11', 40511, '192.230.82.43', 80]"
13377,"['192.230.82.43', 80, '10.152.152.11', 40511]"
13378,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
13379,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
13380,"['10.152.152.11', 42640, '173.194.112.185', 443]"
13381,"['10.152.152.11', 42640, '173.194.112.185', 443]"
13382,"['173.194.112.185', 443, '10.152.152.11', 42640]"
13383,"['173.194.112.185', 443, '10.152.152.11', 42640]"
13384,"['10.152.152.11', 43321, '46.137.81.30', 80]"
13385,"['46.137.81.30', 80, '10.152.152.11', 43321]"
13386,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
13387,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
13388,"['173.194.112.185', 443, '10.152.152.11', 42640]"
13389,"['10.152.152.11', 57795, '173.241.248.220', 80]"
13390,"['173.241.248.220', 80, '10.152.152.11', 57795]"
13391,"['10.152.152.11', 42640, '173.194.112.185', 443]"
13392,"['173.194.112.185', 443, '10.152.152.11', 42640]"
13393,"['10.152.152.11', 42640, '173.194.112.185', 443]"
13394,"['173.194.112.185', 443, '10.152.152.11', 42640]"
13395,"['10.152.152.11', 42640, '173.194.112.185', 443]"
13396,"['10.152.152.11', 42640, '173.194.112.185', 443]"
13397,"['173.194.112.185', 443, '10.152.152.11', 42640]"
13398,"['10.152.152.11', 43281, '173.194.112.185', 80]"
13399,"['10.152.152.11', 43282, '173.194.112.185', 80]"
13400,"['173.194.112.185', 80, '10.152.152.11', 43281]"
13401,"['10.152.152.11', 43266, '173.194.112.185', 80]"
13402,"['173.194.112.185', 80, '10.152.152.11', 43282]"
13403,"['173.194.112.185', 80, '10.152.152.11', 43266]"
13404,"['10.152.152.11', 56274, '54.251.136.58', 80]"
13405,"['10.152.152.11', 56277, '54.251.136.58', 80]"
13406,"['54.251.136.58', 80, '10.152.152.11', 56274]"
13407,"['54.251.136.58', 80, '10.152.152.11', 56277]"
13408,"['10.152.152.11', 56278, '54.251.136.58', 80]"
13409,"['54.251.136.58', 80, '10.152.152.11', 56278]"
13410,"['10.152.152.11', 56273, '54.251.136.58', 80]"
13411,"['54.251.136.58', 80, '10.152.152.11', 56273]"
13412,"['10.152.152.11', 40508, '192.230.82.43', 80]"
13413,"['192.230.82.43', 80, '10.152.152.11', 40508]"
13414,"['10.152.152.11', 42308, '46.4.104.106', 80]"
13415,"['46.4.104.106', 80, '10.152.152.11', 42308]"
13416,"['173.194.112.185', 80, '10.152.152.11', 43281]"
13417,"['10.152.152.11', 43281, '173.194.112.185', 80]"
13418,"['10.152.152.11', 43281, '173.194.112.185', 80]"
13419,"['173.194.112.185', 80, '10.152.152.11', 43281]"
13420,"['10.152.152.11', 56275, '54.251.136.58', 80]"
13421,"['54.251.136.58', 80, '10.152.152.11', 56275]"
13422,"['173.194.112.185', 80, '10.152.152.11', 43282]"
13423,"['10.152.152.11', 43282, '173.194.112.185', 80]"
13424,"['173.194.112.185', 80, '10.152.152.11', 43266]"
13425,"['10.152.152.11', 43266, '173.194.112.185', 80]"
13426,"['10.152.152.11', 56221, '198.47.127.11', 80]"
13427,"['198.47.127.11', 80, '10.152.152.11', 56221]"
13428,"['10.152.152.11', 53416, '23.14.95.99', 80]"
13429,"['23.14.95.99', 80, '10.152.152.11', 53416]"
13430,"['173.194.112.185', 80, '10.152.152.11', 43281]"
13431,"['10.152.152.11', 43281, '173.194.112.185', 80]"
13432,"['10.152.152.11', 56276, '54.251.136.58', 80]"
13433,"['54.251.136.58', 80, '10.152.152.11', 56276]"
13434,"['10.152.152.11', 53205, '72.21.81.253', 80]"
13435,"['72.21.81.253', 80, '10.152.152.11', 53205]"
13436,"['10.152.152.11', 43167, '173.194.112.185', 80]"
13437,"['173.194.112.185', 80, '10.152.152.11', 43167]"
13438,"['10.152.152.11', 48325, '2.20.188.186', 80]"
13439,"['2.20.188.186', 80, '10.152.152.11', 48325]"
13440,"['10.152.152.11', 36908, '31.13.90.6', 443]"
13441,"['31.13.90.6', 443, '10.152.152.11', 36908]"
13442,"['10.152.152.11', 53207, '72.21.81.253', 80]"
13443,"['72.21.81.253', 80, '10.152.152.11', 53207]"
13444,"['10.152.152.11', 60037, '46.134.193.35', 80]"
13445,"['46.134.193.35', 80, '10.152.152.11', 60037]"
13446,"['10.152.152.11', 49012, '23.14.95.96', 80]"
13447,"['23.14.95.96', 80, '10.152.152.11', 49012]"
13448,"['31.13.90.6', 443, '10.152.152.11', 36908]"
13449,"['10.152.152.11', 36908, '31.13.90.6', 443]"
13450,"['10.152.152.11', 37019, '173.194.116.141', 80]"
13451,"['173.194.116.141', 80, '10.152.152.11', 37019]"
13452,"['10.152.152.11', 39132, '185.31.17.249', 80]"
13453,"['185.31.17.249', 80, '10.152.152.11', 39132]"
13454,"['10.152.152.11', 53204, '72.21.81.253', 80]"
13455,"['72.21.81.253', 80, '10.152.152.11', 53204]"
13456,"['10.152.152.11', 50256, '173.241.250.219', 80]"
13457,"['173.241.250.219', 80, '10.152.152.11', 50256]"
13458,"['10.152.152.11', 40800, '23.23.164.218', 80]"
13459,"['23.23.164.218', 80, '10.152.152.11', 40800]"
13460,"['10.152.152.11', 53206, '72.21.81.253', 80]"
13461,"['72.21.81.253', 80, '10.152.152.11', 53206]"
13462,"['10.152.152.11', 38918, '173.194.116.131', 80]"
13463,"['173.194.116.131', 80, '10.152.152.11', 38918]"
13464,"['10.152.152.11', 47609, '104.16.87.26', 80]"
13465,"['104.16.87.26', 80, '10.152.152.11', 47609]"
13466,"['10.152.152.11', 52018, '23.14.95.106', 80]"
13467,"['23.14.95.106', 80, '10.152.152.11', 52018]"
13468,"['10.152.152.11', 44793, '2.20.189.9', 80]"
13469,"['2.20.189.9', 80, '10.152.152.11', 44793]"
13470,"['10.152.152.11', 42591, '208.100.17.174', 80]"
13471,"['208.100.17.174', 80, '10.152.152.11', 42591]"
13472,"['10.152.152.11', 50284, '173.241.250.219', 80]"
13473,"['173.241.250.219', 80, '10.152.152.11', 50284]"
13474,"['10.152.152.11', 60042, '46.134.193.35', 80]"
13475,"['46.134.193.35', 80, '10.152.152.11', 60042]"
13476,"['10.152.152.11', 57742, '23.35.109.37', 80]"
13477,"['23.35.109.37', 80, '10.152.152.11', 57742]"
13478,"['10.152.152.11', 33073, '52.90.81.241', 80]"
13479,"['52.90.81.241', 80, '10.152.152.11', 33073]"
13480,"['10.152.152.11', 40669, '185.31.17.175', 80]"
13481,"['185.31.17.175', 80, '10.152.152.11', 40669]"
13482,"['10.152.152.11', 43396, '185.57.60.185', 80]"
13483,"['185.57.60.185', 80, '10.152.152.11', 43396]"
13484,"['10.152.152.11', 38272, '192.230.68.216', 80]"
13485,"['192.230.68.216', 80, '10.152.152.11', 38272]"
13486,"['10.152.152.11', 42554, '54.169.46.48', 80]"
13487,"['54.169.46.48', 80, '10.152.152.11', 42554]"
13488,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
13489,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
13490,"['10.152.152.11', 43167, '173.194.112.185', 80]"
13491,"['173.194.112.185', 80, '10.152.152.11', 43167]"
13492,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
13493,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
13494,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
13495,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
13496,"['10.152.152.11', 43286, '173.194.112.185', 80]"
13497,"['173.194.112.185', 80, '10.152.152.11', 43286]"
13498,"['10.152.152.11', 43286, '173.194.112.185', 80]"
13499,"['10.152.152.11', 43286, '173.194.112.185', 80]"
13500,"['173.194.112.185', 80, '10.152.152.11', 43286]"
13501,"['10.152.152.11', 60928, '131.202.240.56', 80]"
13502,"['131.202.240.56', 80, '10.152.152.11', 60928]"
13503,"['173.194.112.185', 80, '10.152.152.11', 43167]"
13504,"['10.152.152.11', 43167, '173.194.112.185', 80]"
13505,"['10.152.152.11', 42579, '54.169.46.48', 80]"
13506,"['54.169.46.48', 80, '10.152.152.11', 42579]"
13507,"['10.152.152.11', 43320, '46.137.81.30', 80]"
13508,"['10.152.152.11', 56669, '46.228.164.13', 80]"
13509,"['46.137.81.30', 80, '10.152.152.11', 43320]"
13510,"['46.228.164.13', 80, '10.152.152.11', 56669]"
13511,"['10.152.152.11', 53155, '54.72.194.249', 80]"
13512,"['54.72.194.249', 80, '10.152.152.11', 53155]"
13513,"['10.152.152.11', 42409, '72.21.202.25', 80]"
13514,"['72.21.202.25', 80, '10.152.152.11', 42409]"
13515,"['10.152.152.11', 53156, '54.72.194.249', 80]"
13516,"['54.72.194.249', 80, '10.152.152.11', 53156]"
13517,"['10.152.152.11', 48307, '2.20.188.186', 80]"
13518,"['2.20.188.186', 80, '10.152.152.11', 48307]"
13519,"['10.152.152.11', 60927, '131.202.240.56', 80]"
13520,"['131.202.240.56', 80, '10.152.152.11', 60927]"
13521,"['10.152.152.11', 47651, '50.31.164.174', 80]"
13522,"['50.31.164.174', 80, '10.152.152.11', 47651]"
13523,"['173.194.112.185', 80, '10.152.152.11', 43286]"
13524,"['10.152.152.11', 43286, '173.194.112.185', 80]"
13525,"['10.152.152.11', 43397, '185.57.60.185', 80]"
13526,"['185.57.60.185', 80, '10.152.152.11', 43397]"
13527,"['173.194.112.185', 80, '10.152.152.11', 43286]"
13528,"['10.152.152.11', 43286, '173.194.112.185', 80]"
13529,"['10.152.152.11', 33398, '54.230.10.248', 443]"
13530,"['54.230.10.248', 443, '10.152.152.11', 33398]"
13531,"['10.152.152.11', 34789, '173.241.250.221', 80]"
13532,"['173.241.250.221', 80, '10.152.152.11', 34789]"
13533,"['10.152.152.11', 43381, '54.230.14.247', 80]"
13534,"['54.230.14.247', 80, '10.152.152.11', 43381]"
13535,"['10.152.152.11', 57365, '173.241.250.212', 80]"
13536,"['173.241.250.212', 80, '10.152.152.11', 57365]"
13537,"['10.152.152.11', 43379, '54.230.14.247', 80]"
13538,"['54.230.14.247', 80, '10.152.152.11', 43379]"
13539,"['10.152.152.11', 34790, '173.241.250.221', 80]"
13540,"['173.241.250.221', 80, '10.152.152.11', 34790]"
13541,"['10.152.152.11', 59199, '104.244.43.236', 80]"
13542,"['10.152.152.11', 59292, '46.228.164.11', 80]"
13543,"['10.152.152.11', 43380, '54.230.14.247', 80]"
13544,"['10.152.152.11', 43376, '54.230.14.247', 80]"
13545,"['104.244.43.236', 80, '10.152.152.11', 59199]"
13546,"['46.228.164.11', 80, '10.152.152.11', 59292]"
13547,"['54.230.14.247', 80, '10.152.152.11', 43380]"
13548,"['54.230.14.247', 80, '10.152.152.11', 43376]"
13549,"['10.152.152.11', 43377, '54.230.14.247', 80]"
13550,"['54.230.14.247', 80, '10.152.152.11', 43377]"
13551,"['10.152.152.11', 43378, '54.230.14.247', 80]"
13552,"['54.230.14.247', 80, '10.152.152.11', 43378]"
13553,"['10.152.152.11', 59261, '46.228.164.11', 80]"
13554,"['46.228.164.11', 80, '10.152.152.11', 59261]"
13555,"['10.152.152.11', 54721, '54.221.220.140', 80]"
13556,"['54.221.220.140', 80, '10.152.152.11', 54721]"
13557,"['10.152.152.11', 55632, '54.240.160.165', 80]"
13558,"['54.240.160.165', 80, '10.152.152.11', 55632]"
13559,"['10.152.152.11', 50658, '52.21.118.252', 80]"
13560,"['52.21.118.252', 80, '10.152.152.11', 50658]"
13561,"['10.152.152.11', 44738, '2.20.189.9', 80]"
13562,"['2.20.189.9', 80, '10.152.152.11', 44738]"
13563,"['10.152.152.11', 60353, '52.70.118.59', 80]"
13564,"['52.70.118.59', 80, '10.152.152.11', 60353]"
13565,"['10.152.152.11', 40511, '192.230.82.43', 80]"
13566,"['192.230.82.43', 80, '10.152.152.11', 40511]"
13567,"['10.152.152.11', 43321, '46.137.81.30', 80]"
13568,"['46.137.81.30', 80, '10.152.152.11', 43321]"
13569,"['10.152.152.11', 57795, '173.241.248.220', 80]"
13570,"['173.241.248.220', 80, '10.152.152.11', 57795]"
13571,"['10.152.152.11', 56274, '54.251.136.58', 80]"
13572,"['10.152.152.11', 56277, '54.251.136.58', 80]"
13573,"['54.251.136.58', 80, '10.152.152.11', 56274]"
13574,"['54.251.136.58', 80, '10.152.152.11', 56277]"
13575,"['10.152.152.11', 56278, '54.251.136.58', 80]"
13576,"['54.251.136.58', 80, '10.152.152.11', 56278]"
13577,"['10.152.152.11', 49431, '31.13.90.36', 443]"
13578,"['10.152.152.11', 58915, '173.194.116.141', 443]"
13579,"['10.152.152.11', 46138, '173.194.116.134', 443]"
13580,"['31.13.90.36', 443, '10.152.152.11', 49431]"
13581,"['173.194.116.141', 443, '10.152.152.11', 58915]"
13582,"['173.194.116.134', 443, '10.152.152.11', 46138]"
13583,"['10.152.152.11', 56273, '54.251.136.58', 80]"
13584,"['54.251.136.58', 80, '10.152.152.11', 56273]"
13585,"['10.152.152.11', 40508, '192.230.82.43', 80]"
13586,"['192.230.82.43', 80, '10.152.152.11', 40508]"
13587,"['10.152.152.11', 42308, '46.4.104.106', 80]"
13588,"['46.4.104.106', 80, '10.152.152.11', 42308]"
13589,"['10.152.152.11', 56275, '54.251.136.58', 80]"
13590,"['54.251.136.58', 80, '10.152.152.11', 56275]"
13591,"['173.194.116.134', 443, '10.152.152.11', 46138]"
13592,"['173.194.116.141', 443, '10.152.152.11', 58915]"
13593,"['10.152.152.11', 43282, '173.194.112.185', 80]"
13594,"['10.152.152.11', 46138, '173.194.116.134', 443]"
13595,"['10.152.152.11', 58915, '173.194.116.141', 443]"
13596,"['173.194.112.185', 80, '10.152.152.11', 43282]"
13597,"['10.152.152.11', 43266, '173.194.112.185', 80]"
13598,"['173.194.112.185', 80, '10.152.152.11', 43266]"
13599,"['31.13.90.36', 443, '10.152.152.11', 49431]"
13600,"['10.152.152.11', 49431, '31.13.90.36', 443]"
13601,"['10.152.152.11', 56221, '198.47.127.11', 80]"
13602,"['198.47.127.11', 80, '10.152.152.11', 56221]"
13603,"['10.152.152.11', 53416, '23.14.95.99', 80]"
13604,"['23.14.95.99', 80, '10.152.152.11', 53416]"
13605,"['10.152.152.11', 43281, '173.194.112.185', 80]"
13606,"['173.194.112.185', 80, '10.152.152.11', 43281]"
13607,"['10.152.152.11', 56276, '54.251.136.58', 80]"
13608,"['54.251.136.58', 80, '10.152.152.11', 56276]"
13609,"['23.14.95.99', 80, '10.152.152.11', 53416]"
13610,"['10.152.152.11', 53416, '23.14.95.99', 80]"
13611,"['10.152.152.11', 53205, '72.21.81.253', 80]"
13612,"['72.21.81.253', 80, '10.152.152.11', 53205]"
13613,"['10.152.152.11', 48325, '2.20.188.186', 80]"
13614,"['2.20.188.186', 80, '10.152.152.11', 48325]"
13615,"['10.152.152.11', 53207, '72.21.81.253', 80]"
13616,"['72.21.81.253', 80, '10.152.152.11', 53207]"
13617,"['10.152.152.11', 60037, '46.134.193.35', 80]"
13618,"['46.134.193.35', 80, '10.152.152.11', 60037]"
13619,"['10.152.152.11', 49012, '23.14.95.96', 80]"
13620,"['23.14.95.96', 80, '10.152.152.11', 49012]"
13621,"['10.152.152.11', 37019, '173.194.116.141', 80]"
13622,"['173.194.116.141', 80, '10.152.152.11', 37019]"
13623,"['10.152.152.11', 39132, '185.31.17.249', 80]"
13624,"['185.31.17.249', 80, '10.152.152.11', 39132]"
13625,"['10.152.152.11', 53204, '72.21.81.253', 80]"
13626,"['72.21.81.253', 80, '10.152.152.11', 53204]"
13627,"['10.152.152.11', 50256, '173.241.250.219', 80]"
13628,"['173.241.250.219', 80, '10.152.152.11', 50256]"
13629,"['10.152.152.11', 42716, '173.194.112.185', 443]"
13630,"['10.152.152.11', 37055, '31.13.90.6', 443]"
13631,"['173.194.112.185', 443, '10.152.152.11', 42716]"
13632,"['31.13.90.6', 443, '10.152.152.11', 37055]"
13633,"['10.152.152.11', 40800, '23.23.164.218', 80]"
13634,"['23.23.164.218', 80, '10.152.152.11', 40800]"
13635,"['10.152.152.11', 53206, '72.21.81.253', 80]"
13636,"['72.21.81.253', 80, '10.152.152.11', 53206]"
13637,"['10.152.152.11', 38918, '173.194.116.131', 80]"
13638,"['173.194.116.131', 80, '10.152.152.11', 38918]"
13639,"['10.152.152.11', 47609, '104.16.87.26', 80]"
13640,"['104.16.87.26', 80, '10.152.152.11', 47609]"
13641,"['31.13.90.6', 443, '10.152.152.11', 37055]"
13642,"['10.152.152.11', 37055, '31.13.90.6', 443]"
13643,"['10.152.152.11', 52018, '23.14.95.106', 80]"
13644,"['23.14.95.106', 80, '10.152.152.11', 52018]"
13645,"['173.194.112.185', 443, '10.152.152.11', 42716]"
13646,"['10.152.152.11', 44793, '2.20.189.9', 80]"
13647,"['2.20.189.9', 80, '10.152.152.11', 44793]"
13648,"['10.152.152.11', 42716, '173.194.112.185', 443]"
13649,"['10.152.152.11', 42591, '208.100.17.174', 80]"
13650,"['208.100.17.174', 80, '10.152.152.11', 42591]"
